"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"NHQ[46]",0.0080691132497753,0.00763061227129919,0.00315417701315946,0.003097715595494,0.0152036346177771
"NHQ[47]",0.00756231130306053,0.00713053642905034,0.00311700031364679,0.0026986883677419,0.0146573869282387
"NHQ[48]",0.00746613895416741,0.0070380632238283,0.00300704037582553,0.00283110680453829,0.0143434225161892
"NHQ[49]",0.00705011667760866,0.00662972507665633,0.00289143293358946,0.00262635456969908,0.0137098552345386
"NHQ[50]",0.00642138723430554,0.00598800742532118,0.00272531027750555,0.00224680303042578,0.0127718704800931
"NHQ[51]",0.00551632929777534,0.00514889641791027,0.00239381664453128,0.00186664289199559,0.0111542633368558
"NHQ[52]",0.00357941599647267,0.00332636957321539,0.00191786743004472,0.000507771929844924,0.00807335620068827
"NHQ[53]",0.00332429873448004,0.00293986843923466,0.00213112358188825,0.000447352229672856,0.00864803301651655
"NHQ[54]",0.00367694411397447,0.00328394551383019,0.00221625744489029,0.000598306988255908,0.0090984385585386
"NHQ[55]",0.00358097563656599,0.00320853809193333,0.00216875532956521,0.000551501821566878,0.0089283977880379
"NHQ[56]",0.00355694113856891,0.0031844712379737,0.00210949044637265,0.000599751924481031,0.00868442209695084
"NHQ[57]",0.00331932055313186,0.00295331909231679,0.00198475560136979,0.000570502213592039,0.00822058809895137
"NHQ[58]",0.00314291563347115,0.00278794588828915,0.00190449744802136,0.000502648303422468,0.00778254361763004
"NHQ[59]",0.00340633463808532,0.00308888559024188,0.00193773599377743,0.000633564372640165,0.00814467762387043
"NHQ[60]",0.00347330927755233,0.00314559355422839,0.00196492243559131,0.000643323004187616,0.00827617860365107
"NHQ[61]",0.00350356847718597,0.00316467840408668,0.00196349956831737,0.000663143316508672,0.00831170610171542
"NHQ[62]",0.00363533278288283,0.00329121519900249,0.0020236421166535,0.000691433176813547,0.00858184702545874
"NHQ[63]",0.00378514935638118,0.00344776506921531,0.00210696817695929,0.0007110784572625,0.00890819432641612
"NHQ[64]",0.00420241235050835,0.00386617641211713,0.00228030616268214,0.000834836121615709,0.00966294553888575
"NHQ[65]",0.00449288524829262,0.00413645902960164,0.00243245216594466,0.000908788825706137,0.0102475918090681
"NHQ[66]",0.00455954625952283,0.00424344668900657,0.00221832889918314,0.00113192938568236,0.00985303940236929
"NHQ[67]",0.00549815961159242,0.00524379185999711,0.0020536113926275,0.00221570357828328,0.0101724469556242
"NHQ[68]",0.00521043070135157,0.00494001746523962,0.00229475835878189,0.0015648877555922,0.0106217201686524
"NHQ[69]",0.00519063688154902,0.00492448225385537,0.00231965591098116,0.00151672148268727,0.0106270968702201
