"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"NHQ[93]",0.0641272327481143,0.0625807396023029,0.0160932189044375,0.0356364950166158,0.099294570436699
"NHQ[94]",0.0437173886673765,0.0413474213525153,0.0198121253684547,0.012023522475096,0.0898180329423408
"NHQ[95]",0.05275437624386,0.0514041275417355,0.0154405810933458,0.025920605297991,0.086879104818713
"NHQ[96]",0.0564288084902861,0.0553331068331584,0.0154309957535981,0.0287067798039291,0.0897734092304056
"NHQ[97]",0.0428276392503702,0.0415545681181741,0.0158201503476647,0.0154218612633851,0.0784350565030168
"NHQ[98]",0.0365834898604337,0.0356266105331655,0.0121723899327453,0.0145651140184982,0.0626185102236279
"NHQ[99]",0.0301881416460327,0.0293419338543347,0.0110173476730133,0.0106486604047165,0.0532928316121311
"NHQ[100]",0.031829404113517,0.031369632989896,0.00971359708123389,0.0141998790706206,0.052481045662739
"NHQ[101]",0.0236415589661946,0.0226410441193556,0.0107940148439251,0.00561836355637255,0.0470091369800546
"NHQ[102]",0.0261143252314635,0.0251655197813933,0.0105357899245766,0.00803149134613,0.048480063072355
"NHQ[103]",0.0284278807532837,0.0279191180806826,0.00857724993230623,0.0130830238272106,0.0468904246016368
"NHQ[104]",0.0324407479245451,0.0317486178998791,0.0100075989897304,0.0145356451348725,0.0534540484458936
"NHQ[105]",0.030025926732939,0.0292493594263537,0.0101034678917902,0.0123661612664636,0.0514609852723163
"NHQ[106]",0.0294596839073776,0.0288435141475848,0.0106119214843695,0.0102998253521088,0.0514033604053598
"NHQ[107]",0.0291788556350486,0.0286442661481159,0.0111338306855514,0.00942820272053149,0.052213422326709
"NHQ[108]",0.0293579551525781,0.0286909438065117,0.0102625032992804,0.0110643373995379,0.0510473558765905
"NHQ[109]",0.0239132760529461,0.0234103990063943,0.00783346150244252,0.0101486192063838,0.0405218582915543
"NHQ[110]",0.0236187128867125,0.0231992483825575,0.00619182235134884,0.0122097893719315,0.0365262017327485
"NHQ[111]",0.0214251649640774,0.0209992044904118,0.00677143037077887,0.00959798398526657,0.0358614872263293
"NHQ[112]",0.0282806265619099,0.0279794822309724,0.00689127327132813,0.015600001714051,0.0425402277588463
"NHQ[113]",0.0291745453636333,0.0289983236155679,0.00754070647149632,0.0154852168839362,0.0447935116516554
"NHQ[114]",0.0284824851665055,0.0276023319879065,0.0102746358957746,0.0112897049817858,0.0504239594873731
"NHQ[115]",0.0361512645533125,0.035700148410429,0.0139738272486429,0.0105115685465145,0.0645822861550969
"NHQ[116]",0.0492174332572708,0.0486282710178639,0.0160766501377279,0.0197902257654093,0.0820740113345837
"NHQ[117]",0.0525515060887584,0.0517714623660077,0.0159671317943351,0.0241175085682753,0.0854519492137912
"NHQ[118]",0.0486385681958732,0.0479242917837767,0.014842963453288,0.022316378183124,0.0802387260247108
"NHQ[119]",0.0397858290625967,0.0412804012861021,0.0219286992548058,2.93268008369947e-05,0.081213924615824
"NHQ[120]",0.0498292384179454,0.0537810604645191,0.0339828008047727,8.5496741988507e-16,0.111781011357963
"NHQ[121]",0.0755036364469333,0.0741774463494808,0.0210004613299054,0.0385880191298558,0.121579875531858
"NHQ[122]",0.0950783211578691,0.0940227886561053,0.0231568213775468,0.0534977965735965,0.144618468056156
"NHQ[123]",0.0672953969960154,0.0654202975367482,0.0205783612480723,0.0315899702997125,0.111775508390709
"NHQ[124]",0.0682321238740669,0.0672079543707768,0.0174266203785739,0.0379495684163093,0.105622750398293
"NHQ[125]",0.0613851360863471,0.0599798310610431,0.0201765585991738,0.0243631642779706,0.103810131703495
"NHQ[126]",0.053742186582773,0.0517632321675158,0.0219723952731861,0.0162995254592766,0.0992371896643714
"NHQ[127]",0.0549315251891464,0.0493721536985861,0.0340508327485472,0.00496863186350267,0.134799994430144
"NHQ[128]",0.0611007857030921,0.0575342226233377,0.0336708234931863,0.00801920030254422,0.134707912473752
"NHQ[129]",0.063528562564668,0.0625603653034455,0.0246335385165816,0.019747614924468,0.114295170289691
"NHQ[130]",0.0631466484458846,0.0602799605334076,0.0248118022257249,0.0216964663332771,0.116384608634613
"NHQ[131]",0.0550519156993618,0.0526428532242616,0.0226409683224528,0.0174355120770506,0.103366142461828
"NHQ[132]",0.0544565019107039,0.052820366113719,0.0183079454340886,0.0232633359766945,0.0929031543127606
"NHQ[133]",0.0737374745738633,0.072501416465669,0.0230198322230515,0.032003334991746,0.120438724860596
"NHQ[134]",0.0930250099799329,0.0921209835855166,0.0214480345619509,0.0530975593465288,0.136135826336105
"NHQ[135]",0.0979036761606711,0.0973093063617397,0.018517343502823,0.0633862796521577,0.135835969297074
"NHQ[136]",0.088223266326676,0.087485736817658,0.0169187653073324,0.0571060922617048,0.124572439831598
"NHQ[137]",0.0794833033295647,0.0781083650886573,0.0184415834716494,0.0463929907518028,0.118458055035223
"NHQ[138]",0.08676435101322,0.0857320020637015,0.0199491138027208,0.0503377385682517,0.128398316568255
"NHQ[139]",0.0665907000425332,0.0644344469046044,0.0271664514998074,0.0194642432761162,0.126062368213954
"NHQ[140]",0.0680428871516322,0.0681795963477833,0.0330577899216072,0.00051347210116828,0.134472620359001
"NHQ[141]",0.061580429618006,0.060150055792496,0.0189227818757219,0.0288585504825119,0.102142898771968
"NHQ[142]",0.0538555430607677,0.0517625458488382,0.0223419338183592,0.0158047520700147,0.101607196333464
"NHQ[143]",0.0478731401530895,0.045922905033874,0.0225817653976527,0.0089455306307601,0.0954161623809231
"NHQ[144]",0.0399143542570499,0.0342253727005516,0.027405692038148,0.00420316480825886,0.10648547627729
"NHQ[145]",0.0463393505871277,0.0412296277756029,0.0297152275875551,0.00496118128815325,0.11375648261703
"NHQ[146]",0.0494362899432731,0.04097026394192,0.0380927842234838,0.00202154050377285,0.13880364178035
"NHQ[147]",0.0645119890966302,0.0596942402762625,0.0367969392713215,0.00777427976715326,0.145126233439557
"NHQ[148]",0.0554220596317219,0.0477088821564266,0.0406566500138015,0.00156322337128037,0.143792808011845
"NHQ[149]",0.0724943675643546,0.0672410597546612,0.0419992767898089,0.00886769110270214,0.165239957354974
"NHQ[150]",0.0631039044313477,0.0570328416602111,0.0478221587545018,1.0573278389787e-44,0.167070714028729
"NHQ[151]",0.0964035030774096,0.0929373665547863,0.0441189053321788,0.0221920709535711,0.189664915161205
"NHQ[152]",0.0936158131558673,0.0910079821461861,0.0479652781188414,0.00169166865682622,0.193499712699254
"NHQ[153]",0.0855850022440778,0.0832167254227951,0.0368257240633898,0.0174402742906704,0.163153352709946
"NHQ[154]",0.0854698681072564,0.0846924181320287,0.022689093524412,0.0431312629280104,0.13232232630334
"NHQ[155]",0.0746343491381646,0.0740202992331538,0.0170851835185024,0.0436462318349083,0.110003393943273
"NHQ[156]",0.0718367719683858,0.0705309351099059,0.0260312311188548,0.025308504215339,0.125139145567556
"NHQ[157]",0.0587824274376163,0.0570097014855752,0.0284181444528928,0.00996339970024586,0.11909970087532
"NHQ[158]",0.062710704872568,0.0605666043793295,0.0332086930435717,0.00664528259147692,0.131405369419378
"NHQ[159]",0.0638285624387394,0.0624722793075588,0.0341504414165359,0.00360493755256727,0.132373279028094
"NHQ[160]",0.0747871055513368,0.0734625669384671,0.0312132983412735,0.0210538289777733,0.140498358899559
"NHQ[161]",0.0595434150729674,0.0575824022542557,0.0278883699389116,0.0111493530869226,0.118135113295185
"NHQ[162]",0.0731141555694898,0.0721940667694127,0.044271026621136,3.59244283446177e-05,0.162060310391235
"NHQ[163]",0.0583828695984501,0.0549799246216691,0.0306592287817757,0.0103038771613014,0.125016844768189
"NHQ[164]",0.0790225379066268,0.0785828436248582,0.023650797135927,0.033536051320962,0.127494564833169
"NHQ[165]",0.0985688504167478,0.0983017650194883,0.0262377405317771,0.0481611637724929,0.150844998141694
"NHQ[166]",0.0806796773502923,0.0801429070643927,0.0219650630802936,0.0398458877378531,0.125304216503861
"NHQ[167]",0.0546139446582353,0.0550279203363273,0.0246095523618892,0.00422396328736921,0.102251235845754
